Scott Sunderland
Belinda Lee
David Kosoff
Kieron moore
Doris Hare
Lydia Sherwood
Keith Mitchell
Marti Stevens
Paul Harris
Bernard Braden
Sylvia Sims
Hilton Edwards
John Barrie
Anthony Nicholls
Charles Lloyd Pack
John Cairney
Peter Copley
Donald Churchill
Marissa Mell
John LeMesurier
Olga GeorgesPicot
John Welsh
Jim Guyette
Ray Rodgers
Lewie Anderson
Paul Mercurio
Tara Morice
Barry Otto
Pat Thomson
Peter Whitford
Jon Leguizamo
Jacek Koman
Matthew Whittet
Kerry Walker
Carolinr OConnor
Christine Anu
Lara Mulcahy
Ozzy Osborne
Deobia Oparei
Linal Haft
Norman Kaye
Jonathan Hardy
Judy Pace
Jim Watkins
Lincoln Kirkpatrick
Sergio Tofano
Giulio Cesare Castello
Tino Scotti
Pino Campaninin
Stefani Sandrelli
Gastoni Moschin
Ezno Tarascio
JaenPierre Leaud
Massimo Girotti
Maria Michi
M. Valli
Matthew Barry
Jade Go
Eric VuAn
Chris Isaak
Chris Penn
Mai Britt
David J. Stewart
Morey Amsterdam
Ann Shoemaker
Larry Nunn
Ray McDonald
Fay Rainier
Phil Baker
Tony DeMarco
Lillian Yarbo
Miriam Lavelle
Russell Hoyt
Alan Hale~jr
Robert Weaver
Patrick OConnell
Richard Backus
Peter Jonfield
Kim Catrall
Ian Petrella
Julie Warner
Mary Maya
Antoinette Celier
Aileen Marson
George Graves
Alastair Simms
Francis deWolff
Michael Dolan
C.Konarski
Leonora Corbett
Allan Garfield
Lara Parker
Ruth Alda
Bill Finley
Lisle Wilson
Mary Davenport
Gearge Memmoli
Sylvia Williams
Wanda Blackman
Patrick McNamara
Craig Wesson
Barbara Crampton
Windsor Taylor Randolph
Barbara Peckinpah
Linda Shaw
Stevens Brinke
Joe Picopo
Martin Smith
Erik King
Don Harvey
Thuy Thu Le
John Hancock
Sal Rubineck
Kevin Dunn
Kim Catrell
Eric Hoffmann
Lolita Davidovich
Barton Heyman
Mer Harris
Teri Austin
Gabrielle Charteris
Luis Guzman
Jon Voigt
Emmanuelle Beart
Kristin ScottThomas
Zakes Mokae
Badja Djola
Ron Taylor
'Screaming' Jay Hawkins
Ellen Bursteyn
Michael Jeter
Wendy Makkena
Brad Sullivan
Vanessa Williman
Richard Bradford
Tony Rich
Delia Bocardo
Villalongo
Beverly Hills
Alan hewitt
Debbie Mcgowan
Lesley-Ann Down
Sam Jones
Sherloque Tanny
Michael Robbins
Norman Chancer
Maria Charles
Malcolm Jamieson
John Cassidy
Joanna Dickens
George Silver
Alyson Reed
Julianne Phillips
Diana Barton
Chelsea Field
Ded Dee Rescher
Denise Crossby
Judy Toll
Brenda Swanon
Bryan Genesee
Raye Hollitt
Jean-Marie McKerr
Jimmy Smits
Matt Freeman
Roberto Benigngi
Bret Estes Ellis
Robert Downey~jr
Jean Pierre Aumont
Edna Ferber
Douglas Fairbanks~jr
Kevin Conroy
Abe Vogoda
Kasi Lemmons
Isabella Rosselini
Johanne Ter Steege
Mary Margolis
Barry Tavenier
Marius Hofschneifer
Maria Eden Rose
Volker Bohnet
Michael Hinz
Frank Glaubrecht
Cordula Trantow
HansChristian Blech
Martin Benrath
Hans Christian Blech
Barbara Bouchet.
Elisabeth NeumannViertel
Helen Vita
Sigrid vonRichthoven
Rolf Walter
Gerd Vespermann
Estrongo Nachams
Louise Quick
Gary Morton
Leland Palmer
Carroll Baker
Elsie Wagstaff
Alan Barnes
Annette Crosbie
Christopher Gable
Lally Bowers
Michael Vartan
Patrick Widmark
Peter Barkworth
Carroll OConnor
Ruth Storey
Syl Lamont
And Romano
Charles E. Perry
Chuck Hicks
Bruce Dushman
Emile Genest
Sharan Farrell
Michael King
Charlotte Knight
Linda Christian
John gavin
Ricard long
Chris Robinson
Bill Gunn
Sam Waymon
Joyce Bryant
Zoe Nathanson
Iam McNiece
John Duchovny
Dave Strickland
Meredith Scott Lynn
Pelle Hvenegaard
Samuel Froler
Julia Ormond
Ulf Friberg
Marie Bonnevie
Johan Rabaeus
Bjorn Granath
Jake dArcy
Claire Grogan
Dennis Lawson
John Turtorro
Tris Coffin
Paul Dubov
Myrna Dell
Nelson Leigh
Vic Lundin
Don Grady
Judith Godreche
Vincent Martinez
Imelda Staubton
Saskia Reeves
Richard Hope
Alfred Marks
Ian Redford
Brenda Bruce
Simpson Perez
Roassoano Brazzi
Barbara Werle
Kathryn Dowling
Jackie Gayle
Stanley Brock
Valerie Golino
Kevin Pollack
Eve Gordon
Billy Graham
Catherine Alvarez
Dennis Miller
Nick Sadler
Brd Renfrew
Joe Perrino
Aida Turturro
Vittorio Gassamn
Rene Leahy
Jay Leno
Bebe Neuwirth
Rebekah Johnson
Carolyn Murphy
Jordi Molla
Penelope Cruz
Elisa Touati
Marbel Verdu
Maria deMederios
Rick Moranis
Kyle McLachlan
Henny Youngman
Mort Zuckerman
Susan Ruttan
Ben Model
Luis Caballero
Weston McMillan
Francis Guinan
Roxann Dawson
George Touliatos
Movor Moore
Philip R. allen
Oliva NewtonJohn
John Farrar
Patricia Healey
Kate Hodge
Erich Anderson
Lise Cutter
Lynn Danielson
Rock Brocksmith
Alan Rich
Mark Ralston
Eric Christen
C.C. Leichter
Ed Williams
Jeneane Garofalo
Madelaine Robinson
Laurent Grevill
Katrine Boorman
Phillippe Clevenot
Maxime Leroux
Bryan Madorsky
Juno MillsCockell
Oliva dAbo
Adrian Pasdar
Bojesse Christopher
Christy Thom
Donald B. Borders
Venue deMars
Nita Talbot
Ed Hashim
Rod Laurem
Evans Evans
Tom Gilleran
Raphael Campos
Leo G. McCarroll
CarlGustav Lindstedt
Alan Rosenberg
Rosemary Dunsmore
Doren Fein
Eric Michael Cole
Chris Tucker
Charlie Shenn
Gerard Ismael
Diahann Carroll
Ray Barrett
Clare Binney
Graeme Blundell
Patty Luponi
Maynard Eziashi
Femi Fatoba
Beartie Edney
Sandrine Holt
